vehicles_id,animals,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other
3c1w1i,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3u,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1w1i1o,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1c2u1x,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1c1mc1T,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1u3i,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1w1t1T,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1x1i,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1c1w1b,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1c2u1w,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2w1T,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1mc2i,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
2c2v,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1v2w,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1c1u1B,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1a1b,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1v1T1i,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2c1w1i,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2w1o,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
5c1u2w1o,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1u1v1x,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1x,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6c,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1u2p,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2c2w1T1i1o,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1
2c2u,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2i1o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1t,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
